SERVICE_ID,APP_CODE,IP_ADDRESS,PROCESS_USER,PROCESS_COMMAND,PROCESS_DESC,PROCESS_NUM,IS_LOADBALANCE,HOST_ROLE,USERS_IN_BANK,USERS_TOTAL,USERS_ROLE,USERS_TYPE,PROCESS_ALIAS,MIN_COUNT,MAX_COUNT,BEGIN_TIME,END_TIME
AAP_/bin/sh /weblogic/domains/cbwms_domain/bin/startManagedWebLogic.sh AapServer03 http://10.1.48.77:17101,AAP,10.1.48.77,cbwmsapp,/bin/sh /weblogic/domains/cbwms_domain/bin/startManagedWebLogic.sh AapServer03 http://10.1.48.77:17101,晨星批量接口服务,1,否,2,0,0,0,0,/bin/sh /weblogic/domains/cbwms_domain/bin/startManagedWebLogic.sh AapServer03 http://10.1.48.77:17101,1,1,0:00,24:00:00
ACS_pbcron,ACS,10.1.5.59,acs,pbcron,定时任务,1,是,4,0,0,0,0,pbcron,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,AMCA,10.227.1.1,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,adminserver,2,否,1,0,0,0,0,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,2,2,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh UCOServer http://10.227.1.1:17101,AMCA,10.227.1.1,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh UCOServer http://10.227.1.1:17101,AdminServer,1,是,1,0,0,0,0,/weblogic/jdk/bin/java -server -Xms512m -Xmx1024m -XX:MaxPermSize=256m -Dweblogic.Name=AdminServer -Djava.security.policy=/weblogic/bea/wlserver_10.3/server/lib/weblogic.policy -Dweblogic.ProductionModeEnabled=true -Dweblogic.Domain=amovs_domain -Djava.security.egd=file:/dev/./urandom -da -Dplatform.home=/weblogic/bea/wlserver_10.3 -Dwls.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.management.discover=true -Dwlw.iterativeDev=false -Dwlw.testConsole=false -Dwlw.logErrorsToConsole=false -Dweblogic.ext.dirs=/weblogic/bea/patch_wls1036/profiles/default/sysext_manifest_classpath weblogic.Server,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh XBRLServer http://10.227.1.1:17101,AMCA,10.227.1.1,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh XBRLServer http://10.227.1.1:17101,AdminServer,1,是,1,0,0,0,0,/weblogic/jdk/bin/java -server -Xms512m -Xmx1024m -XX:MaxPermSize=256m -Dweblogic.Name=AdminServer -Djava.security.policy=/weblogic/bea/wlserver_10.3/server/lib/weblogic.policy -Dweblogic.ProductionModeEnabled=true -Dweblogic.Domain=amovs_domain -Djava.security.egd=file:/dev/./urandom -da -Dplatform.home=/weblogic/bea/wlserver_10.3 -Dwls.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.management.discover=true -Dwlw.iterativeDev=false -Dwlw.testConsole=false -Dwlw.logErrorsToConsole=false -Dweblogic.ext.dirs=/weblogic/bea/patch_wls1036/profiles/default/sysext_manifest_classpath weblogic.Server,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh,AMCA,10.227.1.1,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh,adminserver,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh,1,1,0:00,24:00:00
AMCA_/oracle/app/oracle/product/11.2.0.4/db_1/bin/tnslsnr LISTENER_OMS -inherit,AMCA,10.227.1.19,oracle,/oracle/app/oracle/product/11.2.0.4/db_1/bin/tnslsnr LISTENER_OMS -inherit,tnslsnr,1,否,3,0,0,0,0,/oracle/app/oracle/product/11.2.0.4/db_1/bin/tnslsnr LISTENER_OMS -inherit,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh,AMCA,10.227.1.2,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh,adminserver,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,AMCA,10.227.1.2,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,adminserver,2,否,1,0,0,0,0,/bin/sh /weblogic/domains/amovs_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,2,2,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh UCOServer http://10.227.1.2:17101,AMCA,10.227.1.2,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh UCOServer http://10.227.1.2:17101,AdminServer,1,是,1,0,0,0,0,/weblogic/jdk/bin/java -server -Xms512m -Xmx1024m -XX:MaxPermSize=256m -Dweblogic.Name=AdminServer -Djava.security.policy=/weblogic/bea/wlserver_10.3/server/lib/weblogic.policy -Dweblogic.ProductionModeEnabled=true -Dweblogic.Domain=amovs_domain -Djava.security.egd=file:/dev/./urandom -da -Dplatform.home=/weblogic/bea/wlserver_10.3 -Dwls.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.management.discover=true -Dwlw.iterativeDev=false -Dwlw.testConsole=false -Dwlw.logErrorsToConsole=false -Dweblogic.ext.dirs=/weblogic/bea/patch_wls1036/profiles/default/sysext_manifest_classpath weblogic.Server,1,1,0:00,24:00:00
